epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.761,1.8401,4.51071,2.18803,0.09836,0.11158,0.04237,0.0196,1.70774,3.30121,2.3806,3.32808e-05,3.32808e-05,0.0667524
2,336.378,1.62086,3.50657,1.95459,0.24289,0.1699,0.09923,0.0493,1.56041,2.75758,2.17261,6.49655e-05,6.49655e-05,0.0334508
3,503.106,1.51625,3.06138,1.81882,0.36618,0.24402,0.19217,0.10473,1.48712,2.38653,2.0468,9.50001e-05,9.50001e-05,0.000147494
4,668.066,1.45236,2.71106,1.72924,0.37266,0.33379,0.29204,0.16235,1.44189,2.08424,1.96211,9.2575e-05,9.2575e-05,9.2575e-05
5,836.013,1.41107,2.45592,1.67527,0.39784,0.41359,0.36544,0.20354,1.4234,1.88073,1.90274,9.01e-05,9.01e-05,9.01e-05
6,1000.87,1.38596,2.28622,1.63867,0.41212,0.44228,0.43145,0.24149,1.40604,1.73579,1.86398,8.7625e-05,8.7625e-05,8.7625e-05
7,1168.53,1.37136,2.15846,1.6178,0.42918,0.51025,0.47189,0.26238,1.39721,1.62486,1.84171,8.515e-05,8.515e-05,8.515e-05
8,1333.11,1.36231,2.04893,1.60124,0.43931,0.54984,0.49837,0.2822,1.39126,1.54278,1.83053,8.2675e-05,8.2675e-05,8.2675e-05
9,1499.87,1.34375,1.96765,1.58972,0.46198,0.58863,0.53021,0.30234,1.37913,1.47825,1.81423,8.02e-05,8.02e-05,8.02e-05
10,1665.05,1.34173,1.90428,1.57458,0.49885,0.59469,0.55764,0.31523,1.38209,1.42886,1.8082,7.7725e-05,7.7725e-05,7.7725e-05
11,1831.69,1.33246,1.851,1.56961,0.51627,0.59666,0.58053,0.33045,1.38277,1.38571,1.80397,7.525e-05,7.525e-05,7.525e-05
12,1996.49,1.32919,1.80899,1.56463,0.52739,0.62416,0.5967,0.34153,1.3734,1.35405,1.79257,7.2775e-05,7.2775e-05,7.2775e-05
13,2164.8,1.32565,1.76956,1.55804,0.54436,0.62639,0.61222,0.35274,1.37084,1.32103,1.78933,7.03e-05,7.03e-05,7.03e-05
14,2330.03,1.31561,1.7304,1.55048,0.57272,0.62057,0.62739,0.36247,1.36632,1.29609,1.78233,6.7825e-05,6.7825e-05,6.7825e-05
15,2496.45,1.30572,1.68483,1.54108,0.57203,0.63184,0.63418,0.36724,1.36181,1.2679,1.77464,6.535e-05,6.535e-05,6.535e-05
16,2662.18,1.31189,1.67831,1.54705,0.59092,0.63624,0.64249,0.37196,1.36041,1.26013,1.77124,6.2875e-05,6.2875e-05,6.2875e-05
17,2827.42,1.30483,1.64751,1.54048,0.5989,0.63446,0.65327,0.3802,1.3556,1.23987,1.76771,6.04e-05,6.04e-05,6.04e-05
18,2992.66,1.29316,1.6184,1.53025,0.5961,0.65456,0.66128,0.3862,1.36036,1.22224,1.76991,5.7925e-05,5.7925e-05,5.7925e-05
19,3157.81,1.29907,1.61218,1.53001,0.61186,0.66223,0.66522,0.38894,1.34938,1.21906,1.76144,5.545e-05,5.545e-05,5.545e-05
20,3324.69,1.28978,1.56784,1.52559,0.61236,0.65351,0.66832,0.39098,1.34743,1.19725,1.75812,5.2975e-05,5.2975e-05,5.2975e-05
21,3489.13,1.29215,1.55543,1.52362,0.60295,0.67567,0.68126,0.40099,1.3499,1.18713,1.75688,5.05e-05,5.05e-05,5.05e-05
22,3655.7,1.2967,1.54734,1.52445,0.60848,0.68083,0.68173,0.40059,1.34805,1.18087,1.75352,4.8025e-05,4.8025e-05,4.8025e-05
