epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.729,1.83003,4.43182,2.18737,0.08794,0.09818,0.02998,0.01386,1.72948,3.44188,2.42672,3.33071e-06,3.33071e-06,0.0666962
2,394.544,1.68219,3.77683,2.03444,0.0971,0.11808,0.04337,0.02063,1.64903,3.23057,2.32715,6.49761e-06,6.49761e-06,0.0333661
3,588.581,1.63632,3.60958,1.9861,0.10931,0.14019,0.05518,0.0266,1.61388,3.09435,2.27432,9.49801e-06,9.49801e-06,3.57447e-05
4,782.422,1.6158,3.47897,1.957,0.11553,0.1539,0.06643,0.03249,1.58934,2.98915,2.25139,9.25075e-06,9.25075e-06,9.25075e-06
5,974.303,1.60464,3.41565,1.93804,0.1209,0.15746,0.07641,0.03727,1.5827,2.90731,2.22498,9.001e-06,9.001e-06,9.001e-06
6,1166.22,1.57871,3.35155,1.90639,0.18933,0.16154,0.08667,0.04279,1.5596,2.82598,2.19772,8.75125e-06,8.75125e-06,8.75125e-06
7,1358.02,1.568,3.28258,1.89413,0.19425,0.17954,0.09799,0.04896,1.55022,2.75543,2.18108,8.5015e-06,8.5015e-06,8.5015e-06
8,1550.19,1.55912,3.2243,1.87659,0.19735,0.19497,0.10711,0.05354,1.54611,2.70752,2.16668,8.25175e-06,8.25175e-06,8.25175e-06
9,1742.04,1.54551,3.18838,1.86355,0.21112,0.208,0.11639,0.05797,1.52877,2.65739,2.14934,8.002e-06,8.002e-06,8.002e-06
10,1934.73,1.53161,3.12926,1.84425,0.26918,0.20957,0.12647,0.06355,1.5195,2.60999,2.13564,7.75225e-06,7.75225e-06,7.75225e-06
11,2127.25,1.52569,3.09673,1.84003,0.33498,0.21232,0.13719,0.06939,1.51179,2.57172,2.12427,7.5025e-06,7.5025e-06,7.5025e-06
12,2319.6,1.5196,3.06632,1.83206,0.2909,0.23098,0.14987,0.07657,1.50483,2.5334,2.11559,7.25275e-06,7.25275e-06,7.25275e-06
13,2509.8,1.50928,3.03706,1.82155,0.26977,0.24596,0.1571,0.08132,1.49972,2.50215,2.10522,7.003e-06,7.003e-06,7.003e-06
14,2702.6,1.50139,3.00472,1.80585,0.33157,0.24841,0.16421,0.08557,1.49174,2.47566,2.09574,6.75325e-06,6.75325e-06,6.75325e-06
