epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.341,2.15678,4.10711,2.44549,0.87057,0.0315,0.04921,0.02631,1.48157,3.32158,2.05713,0.000332808,0.000332808,0.067052
2,356.175,1.44284,3.13165,1.68393,0.41237,0.28082,0.23333,0.12764,1.43399,2.26031,1.8845,0.000665125,0.000665125,0.034051
3,534.352,1.3872,2.38478,1.59531,0.39784,0.54143,0.46432,0.25116,1.43306,1.62736,1.85608,0.000993384,0.000993384,0.00104588
4,710.243,1.34704,2.01168,1.55032,0.51964,0.61717,0.59005,0.33479,1.38292,1.4192,1.80557,0.000986323,0.000986323,0.000986323
5,885.544,1.31115,1.80422,1.51875,0.57581,0.66014,0.64713,0.36541,1.37606,1.32959,1.78538,0.000975773,0.000975773,0.000975773
6,1060.25,1.28299,1.69751,1.49734,0.54996,0.70454,0.66999,0.39159,1.33154,1.30102,1.74152,0.00096232,0.00096232,0.00096232
7,1234.56,1.26705,1.61948,1.48514,0.641,0.68907,0.69732,0.40673,1.33995,1.18726,1.74179,0.000946048,0.000946048,0.000946048
8,1410.54,1.25924,1.53518,1.47586,0.68358,0.69061,0.7196,0.41248,1.38545,1.12673,1.78565,0.000927057,0.000927057,0.000927057
9,1585.72,1.23809,1.48195,1.46893,0.66605,0.73068,0.73617,0.43641,1.33702,1.06112,1.73815,0.000905463,0.000905463,0.000905463
10,1760.74,1.23492,1.4302,1.45637,0.69937,0.7323,0.74905,0.44628,1.31755,1.06573,1.71369,0.000881401,0.000881401,0.000881401
11,1937.28,1.22257,1.40088,1.45223,0.65956,0.73263,0.74151,0.43686,1.32578,1.0859,1.72282,0.000855018,0.000855018,0.000855018
12,2112.29,1.21383,1.36265,1.44414,0.71332,0.7248,0.75426,0.44822,1.32512,1.02784,1.72111,0.000826477,0.000826477,0.000826477
13,2287.3,1.20735,1.32965,1.43644,0.73584,0.73789,0.76808,0.45968,1.32534,1.00642,1.71833,0.000795954,0.000795954,0.000795954
14,2463.27,1.19798,1.2868,1.43186,0.70595,0.76179,0.76719,0.45577,1.32121,0.99025,1.71751,0.000763637,0.000763637,0.000763637
15,2639.01,1.18541,1.2501,1.42104,0.70281,0.76206,0.76552,0.45538,1.3208,0.99214,1.71179,0.000729725,0.000729725,0.000729725
16,2815.07,1.18263,1.24335,1.42237,0.74663,0.76863,0.7847,0.47383,1.31328,0.96322,1.70251,0.000694428,0.000694428,0.000694428
17,2990.74,1.17202,1.20965,1.41515,0.7423,0.76343,0.78168,0.47259,1.30584,0.94944,1.6958,0.000657963,0.000657963,0.000657963
18,3165.62,1.15695,1.18667,1.40115,0.75889,0.7329,0.78624,0.47533,1.32007,0.94059,1.70446,0.000620555,0.000620555,0.000620555
19,3341.35,1.15776,1.16904,1.40034,0.74806,0.7659,0.78472,0.47498,1.30396,0.93634,1.69799,0.000582435,0.000582435,0.000582435
20,3518.03,1.13841,1.13854,1.38894,0.76826,0.74687,0.78788,0.47811,1.31269,0.93954,1.70578,0.000543837,0.000543837,0.000543837
21,3693.37,1.13979,1.11659,1.38976,0.7657,0.78103,0.79524,0.48388,1.3117,0.92364,1.70094,0.000505,0.000505,0.000505
22,3869.45,1.13812,1.10308,1.38936,0.73422,0.77095,0.78591,0.47981,1.31983,0.92768,1.71397,0.000466163,0.000466163,0.000466163
23,4045.69,1.12788,1.08766,1.38235,0.7762,0.75365,0.79648,0.48478,1.30103,0.904,1.69477,0.000427565,0.000427565,0.000427565
24,4221.35,1.11659,1.06961,1.37607,0.75937,0.75427,0.78929,0.48184,1.3125,0.9113,1.70804,0.000389445,0.000389445,0.000389445
25,4396.77,1.12332,1.06091,1.3767,0.75681,0.7765,0.79785,0.48257,1.30498,0.91256,1.69839,0.000352037,0.000352037,0.000352037
26,4572.29,1.11164,1.04557,1.37136,0.7692,0.78155,0.80463,0.4867,1.31333,0.904,1.70861,0.000315572,0.000315572,0.000315572
27,4747.23,1.09999,1.02659,1.36294,0.75803,0.76886,0.797,0.48501,1.3174,0.89495,1.71125,0.000280275,0.000280275,0.000280275
28,4922.77,1.09747,1.02461,1.36197,0.78039,0.76966,0.79699,0.47977,1.32461,0.89952,1.71537,0.000246363,0.000246363,0.000246363
29,5097.29,1.08216,1.00119,1.35019,0.78358,0.75927,0.80486,0.48783,1.3238,0.89446,1.71522,0.000214046,0.000214046,0.000214046
30,5273.32,1.07855,0.99139,1.34974,0.77076,0.77386,0.79658,0.48145,1.31724,0.89715,1.71394,0.000183523,0.000183523,0.000183523
31,5446.66,1.03345,0.97439,1.44438,0.77469,0.75272,0.79519,0.48273,1.32603,0.91476,1.73149,0.000154982,0.000154982,0.000154982
32,5618.58,1.00876,0.91785,1.42683,0.7843,0.74869,0.79693,0.48589,1.32303,0.90292,1.72888,0.000128599,0.000128599,0.000128599
33,5790.62,1.00431,0.90881,1.42738,0.78204,0.74161,0.79514,0.48198,1.31639,0.90563,1.72635,0.000104537,0.000104537,0.000104537
34,5962.15,0.98983,0.89488,1.41292,0.77388,0.77347,0.80201,0.48602,1.32205,0.89715,1.73114,8.29431e-05,8.29431e-05,8.29431e-05
35,6134.06,0.98247,0.88377,1.4032,0.78327,0.75317,0.79796,0.48198,1.32017,0.90049,1.73585,6.39518e-05,6.39518e-05,6.39518e-05
36,6307.19,0.97374,0.86965,1.39514,0.79145,0.75306,0.80166,0.48636,1.32123,0.89792,1.73279,4.76796e-05,4.76796e-05,4.76796e-05
37,6479.41,0.97254,0.86529,1.39722,0.78159,0.76605,0.79961,0.48755,1.32061,0.89666,1.73627,3.4227e-05,3.4227e-05,3.4227e-05
38,6653.26,0.96521,0.863,1.38932,0.77294,0.77553,0.80223,0.48656,1.32158,0.89668,1.73556,2.36769e-05,2.36769e-05,2.36769e-05
39,6826.3,0.96554,0.86176,1.39435,0.77239,0.76936,0.8009,0.48637,1.3212,0.89712,1.73588,1.60943e-05,1.60943e-05,1.60943e-05
40,6998.53,0.96373,0.85568,1.39092,0.77405,0.77362,0.79755,0.48531,1.32057,0.90039,1.73653,1.15259e-05,1.15259e-05,1.15259e-05
