epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.156,1.46201,5.32233,2.12526,0.09795,0.02975,0.06505,0.04033,1.42506,2.55496,2.08922,3.12714e-05,3.12714e-05,3.12714e-05
2,553.336,1.29897,2.97362,1.87415,0.23321,0.10161,0.16656,0.10964,1.3784,2.06591,1.97091,5.64069e-05,5.64069e-05,5.64069e-05
3,827.316,1.2696,2.31981,1.82387,0.28212,0.12113,0.2024,0.13559,1.37636,1.84578,1.95871,7.53383e-05,7.53383e-05,7.53383e-05
4,1101.46,1.24336,1.98874,1.79277,0.36284,0.13782,0.25056,0.17031,1.35656,1.74959,1.93711,6.6082e-05,6.6082e-05,6.6082e-05
5,1375.19,1.21003,1.74706,1.753,0.36481,0.18547,0.2773,0.18372,1.34496,1.57019,1.90438,5.6776e-05,5.6776e-05,5.6776e-05
6,1649.04,1.18495,1.58857,1.72565,0.39506,0.21396,0.30399,0.19892,1.35974,1.52198,1.91827,4.747e-05,4.747e-05,4.747e-05
7,1923.56,1.16429,1.47434,1.70199,0.45048,0.23517,0.34544,0.23234,1.32108,1.45633,1.87341,3.8164e-05,3.8164e-05,3.8164e-05
8,2198.27,1.13734,1.37139,1.67295,0.46809,0.24801,0.35512,0.24115,1.32492,1.40975,1.87279,2.8858e-05,2.8858e-05,2.8858e-05
9,2471.46,1.11383,1.29337,1.6527,0.46771,0.28635,0.37737,0.2546,1.29703,1.36318,1.84925,1.9552e-05,1.9552e-05,1.9552e-05
10,2743.47,1.09382,1.23227,1.6324,0.50092,0.28969,0.39561,0.26829,1.29801,1.33273,1.84527,1.0246e-05,1.0246e-05,1.0246e-05
