epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,588.593,1.37581,4.44431,2.00244,0.16686,0.07586,0.12339,0.08414,1.33936,2.10084,1.93863,3.12714e-05,3.12714e-05,3.12714e-05
2,1183.91,1.23989,2.35382,1.78336,0.26153,0.12912,0.19769,0.13234,1.33623,1.73935,1.91547,5.64069e-05,5.64069e-05,5.64069e-05
3,1775.59,1.21761,1.87786,1.74695,0.30664,0.15402,0.23037,0.15105,1.33837,1.62106,1.91331,7.53383e-05,7.53383e-05,7.53383e-05
4,2361.66,1.19974,1.67459,1.72999,0.39991,0.18633,0.29317,0.20148,1.32908,1.52839,1.88779,6.6082e-05,6.6082e-05,6.6082e-05
5,2950.93,1.1665,1.47149,1.69035,0.44798,0.25618,0.35349,0.23337,1.31371,1.35528,1.85618,5.6776e-05,5.6776e-05,5.6776e-05
6,3542.75,1.13137,1.33108,1.6553,0.45561,0.24246,0.35082,0.22778,1.31968,1.3452,1.85458,4.747e-05,4.747e-05,4.747e-05
7,4136.55,1.10637,1.2154,1.63054,0.4978,0.28624,0.39374,0.26079,1.27079,1.2485,1.81148,3.8164e-05,3.8164e-05,3.8164e-05
8,4728.52,1.07303,1.10806,1.59561,0.54199,0.31271,0.43098,0.29376,1.25936,1.19382,1.79257,2.8858e-05,2.8858e-05,2.8858e-05
9,5315.71,1.03583,1.01688,1.56678,0.54804,0.34639,0.45437,0.30991,1.24868,1.15991,1.78428,1.9552e-05,1.9552e-05,1.9552e-05
10,5909.21,1.00894,0.94318,1.54036,0.55893,0.37417,0.46621,0.31884,1.25557,1.12392,1.79323,1.0246e-05,1.0246e-05,1.0246e-05
