epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.71,1.4186,5.13768,2.09007,0.04842,0.01882,0.03399,0.02066,1.4136,2.88215,2.09065,3.12714e-05,3.12714e-05,3.12714e-05
2,355.927,1.29359,3.84707,1.89049,0.11276,0.06654,0.0908,0.05789,1.37415,2.38264,1.9819,5.64069e-05,5.64069e-05,5.64069e-05
3,532.358,1.26383,3.21936,1.83867,0.20431,0.07688,0.14187,0.09364,1.36866,2.12805,1.96586,7.53383e-05,7.53383e-05,7.53383e-05
4,710.005,1.23699,2.80837,1.80207,0.25617,0.10659,0.18046,0.1172,1.35097,1.98294,1.93103,6.6082e-05,6.6082e-05,6.6082e-05
5,887.938,1.21181,2.51423,1.76859,0.28023,0.13027,0.2052,0.13598,1.34856,1.81616,1.91732,5.6776e-05,5.6776e-05,5.6776e-05
6,1065.54,1.19314,2.31587,1.74593,0.3231,0.14665,0.23423,0.15508,1.32558,1.78633,1.89869,4.747e-05,4.747e-05,4.747e-05
7,1244.25,1.17974,2.16708,1.72854,0.33533,0.1902,0.2607,0.1704,1.30633,1.66386,1.8722,3.8164e-05,3.8164e-05,3.8164e-05
8,1422.02,1.163,2.05887,1.70843,0.3326,0.18668,0.25774,0.16844,1.32159,1.61745,1.879,2.8858e-05,2.8858e-05,2.8858e-05
9,1599.88,1.14396,1.9823,1.69419,0.37979,0.20276,0.29051,0.19274,1.29531,1.57746,1.85488,1.9552e-05,1.9552e-05,1.9552e-05
10,1778.29,1.13739,1.92509,1.68484,0.35949,0.20376,0.28211,0.18775,1.29958,1.55833,1.8565,1.0246e-05,1.0246e-05,1.0246e-05
