epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.864,2.09938,4.34071,2.41451,0.03086,0.00299,0.0171,0.0074,1.64384,3.56826,2.31198,9.98425e-06,9.98425e-06,0.0875297
2,354.062,1.79768,3.76492,2.15721,0.10011,0.00936,0.05304,0.02023,1.58779,3.29991,2.27338,1.99766e-05,1.99766e-05,0.0750397
3,530.649,1.69046,3.52862,2.05682,0.11982,0.03231,0.07291,0.03362,1.59852,3.04479,2.26674,2.99385e-05,2.99385e-05,0.0625496
4,707.02,1.63082,3.30115,1.98397,0.14134,0.05828,0.09823,0.04656,1.63172,2.81503,2.2486,3.98471e-05,3.98471e-05,0.0500595
5,880.182,1.59782,3.09934,1.93108,0.16017,0.09262,0.12463,0.06042,1.65524,2.62382,2.2244,4.96796e-05,4.96796e-05,0.0375694
6,1053.67,1.57907,2.92973,1.88526,0.22663,0.14021,0.17965,0.08364,1.71686,2.41668,2.23853,5.94137e-05,5.94137e-05,0.0250791
7,1227.71,1.56033,2.76742,1.8504,0.36454,0.19951,0.27929,0.13347,1.69548,2.18709,2.18373,6.90271e-05,6.90271e-05,0.0125887
8,1401,1.53318,2.62891,1.82013,0.423,0.30289,0.36125,0.17462,1.68135,2.0109,2.14629,7.84978e-05,7.84978e-05,9.81828e-05
9,1573.84,1.51848,2.50771,1.792,0.48525,0.345,0.41047,0.20445,1.68232,1.866,2.12216,7.80618e-05,7.80618e-05,7.80618e-05
10,1747.46,1.50887,2.40221,1.7808,0.50335,0.40003,0.45022,0.21894,1.67855,1.76721,2.11289,7.75524e-05,7.75524e-05,7.75524e-05
11,1921.47,1.48568,2.29861,1.75538,0.52974,0.43742,0.47955,0.23232,1.67021,1.66856,2.09312,7.69856e-05,7.69856e-05,7.69856e-05
12,2095.45,1.4797,2.23868,1.74412,0.56177,0.48027,0.51359,0.2531,1.65933,1.58907,2.07172,7.63625e-05,7.63625e-05,7.63625e-05
13,2269.63,1.48504,2.18626,1.7421,0.57926,0.49147,0.52938,0.26116,1.65783,1.54158,2.0613,7.56839e-05,7.56839e-05,7.56839e-05
14,2443.93,1.47435,2.15362,1.72824,0.55492,0.51349,0.53068,0.26663,1.61377,1.47612,2.01751,7.49508e-05,7.49508e-05,7.49508e-05
15,2618.07,1.45649,2.08227,1.71514,0.57084,0.52277,0.53974,0.27552,1.60805,1.43738,2.00711,7.41646e-05,7.41646e-05,7.41646e-05
16,2791.48,1.45332,2.06277,1.72074,0.61302,0.53945,0.57281,0.29261,1.6211,1.40567,2.01734,7.33262e-05,7.33262e-05,7.33262e-05
17,2964.73,1.4406,2.03692,1.70959,0.60339,0.56275,0.58095,0.30117,1.60052,1.3708,1.99936,7.24371e-05,7.24371e-05,7.24371e-05
18,3137.86,1.43522,1.99557,1.70255,0.62203,0.56763,0.59097,0.30701,1.59666,1.34268,1.98575,7.14986e-05,7.14986e-05,7.14986e-05
19,3310.78,1.44508,1.98316,1.70553,0.60868,0.58529,0.59932,0.31341,1.56754,1.32516,1.96481,7.05121e-05,7.05121e-05,7.05121e-05
20,3484.06,1.43202,1.94855,1.69206,0.60716,0.58416,0.59858,0.31622,1.56678,1.28966,1.9526,6.94792e-05,6.94792e-05,6.94792e-05
21,3657.53,1.43309,1.92868,1.69391,0.62697,0.5972,0.61282,0.32737,1.55951,1.28384,1.94968,6.84014e-05,6.84014e-05,6.84014e-05
22,3830.69,1.42701,1.90494,1.6884,0.63207,0.60304,0.6221,0.33361,1.55491,1.25797,1.94258,6.72805e-05,6.72805e-05,6.72805e-05
23,4004.35,1.42463,1.894,1.68912,0.64475,0.6109,0.63082,0.34332,1.53874,1.23333,1.92778,6.61181e-05,6.61181e-05,6.61181e-05
24,4177.65,1.42088,1.86815,1.68284,0.63559,0.60128,0.6247,0.33465,1.55397,1.24091,1.93966,6.49161e-05,6.49161e-05,6.49161e-05
25,4350.87,1.40949,1.85552,1.6764,0.61738,0.61823,0.62721,0.3325,1.56785,1.23133,1.95305,6.36763e-05,6.36763e-05,6.36763e-05
26,4524.29,1.41348,1.85374,1.68271,0.63488,0.62034,0.64387,0.3444,1.55603,1.21278,1.93741,6.24006e-05,6.24006e-05,6.24006e-05
27,4697.47,1.40312,1.83047,1.67432,0.63611,0.62614,0.64432,0.35308,1.53845,1.19324,1.91902,6.10909e-05,6.10909e-05,6.10909e-05
28,4871.29,1.40114,1.80697,1.66621,0.63855,0.62186,0.6457,0.35469,1.52832,1.1802,1.91002,5.97494e-05,5.97494e-05,5.97494e-05
29,5045.16,1.41555,1.81268,1.67862,0.64207,0.62934,0.64918,0.35783,1.53086,1.18426,1.91114,5.8378e-05,5.8378e-05,5.8378e-05
30,5219.32,1.40794,1.79791,1.67419,0.64953,0.64156,0.65489,0.36366,1.52997,1.17118,1.90682,5.69789e-05,5.69789e-05,5.69789e-05
31,5392.85,1.40401,1.79024,1.66471,0.64293,0.64491,0.65573,0.36031,1.52861,1.15507,1.90641,5.55543e-05,5.55543e-05,5.55543e-05
32,5566.85,1.40679,1.78441,1.67168,0.63746,0.63755,0.65424,0.35992,1.53675,1.15606,1.91168,5.41062e-05,5.41062e-05,5.41062e-05
33,5740.1,1.39334,1.76522,1.66446,0.646,0.65113,0.66298,0.36685,1.52561,1.14737,1.90443,5.26371e-05,5.26371e-05,5.26371e-05
34,5914.1,1.39619,1.76653,1.66316,0.64527,0.65456,0.66444,0.37169,1.51819,1.1364,1.89443,5.1149e-05,5.1149e-05,5.1149e-05
35,6088.55,1.39553,1.75478,1.65905,0.64732,0.64221,0.65965,0.37301,1.5121,1.13178,1.88374,4.96444e-05,4.96444e-05,4.96444e-05
