epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.033,1.34073,6.23852,2.06154,0.037570,0.001840,0.017390,0.004520,1.21215,4.51611,2.03055,1.66372e-05,1.66372e-05,0.0833795
2,723.875,1.20388,4.92836,1.85405,0.205350,0.049240,0.124930,0.064170,1.1232,3.77251,1.85345,3.28328e-05,3.28328e-05,0.066729
3,1094.99,1.08733,4.0966,1.64723,0.332270,0.180030,0.253290,0.143390,1.08593,3.05361,1.71,4.85571e-05,4.85571e-05,0.0500781
4,1464.31,0.9939,3.39052,1.50475,0.513340,0.319120,0.410750,0.212010,1.0956,2.44437,1.65043,6.38098e-05,6.38098e-05,0.0334266
5,1828.63,0.9548,2.96929,1.42478,0.602140,0.417500,0.504190,0.270700,1.05192,2.15172,1.58595,7.85912e-05,7.85912e-05,0.0167748
6,2193.82,0.92286,2.6927,1.38664,0.614050,0.500490,0.558170,0.301990,1.02649,1.95752,1.54484,9.29012e-05,9.29012e-05,0.0001224
7,2558.18,0.89463,2.44434,1.35085,0.675900,0.576230,0.619900,0.351470,0.98511,1.7788,1.49034,9.15143e-05,9.15143e-05,9.15143e-05
8,2922.8,0.87794,2.29657,1.33307,0.688250,0.600940,0.652240,0.375710,0.96514,1.6709,1.46946,9.01e-05,9.01e-05,9.01e-05
9,3288.4,0.8661,2.14645,1.31756,0.664320,0.654870,0.660800,0.387190,0.94316,1.57331,1.44653,8.86857e-05,8.86857e-05,8.86857e-05
10,3653.46,0.85601,2.05783,1.30467,0.690870,0.654040,0.670190,0.397470,0.93357,1.51196,1.43031,8.72714e-05,8.72714e-05,8.72714e-05
11,4013.81,0.84724,1.97687,1.29603,0.707240,0.674890,0.693710,0.414990,0.92296,1.47315,1.4154,8.58571e-05,8.58571e-05,8.58571e-05
12,4378.28,0.83472,1.92321,1.28871,0.698370,0.679220,0.693870,0.418890,0.91959,1.41824,1.41148,8.44429e-05,8.44429e-05,8.44429e-05
13,4743.21,0.83788,1.86765,1.2836,0.719540,0.702090,0.718900,0.436430,0.9133,1.3698,1.39953,8.30286e-05,8.30286e-05,8.30286e-05
14,5104.17,0.83315,1.80927,1.28182,0.697660,0.701060,0.705700,0.431120,0.91585,1.3507,1.40772,8.16143e-05,8.16143e-05,8.16143e-05
15,5464.19,0.82785,1.7894,1.27993,0.716060,0.708830,0.724280,0.441150,0.90614,1.33355,1.39259,8.02e-05,8.02e-05,8.02e-05
16,5828.31,0.82008,1.73887,1.27009,0.722310,0.708890,0.733100,0.453550,0.90286,1.28064,1.39357,7.87857e-05,7.87857e-05,7.87857e-05
17,6193.4,0.82005,1.72075,1.26708,0.729790,0.724480,0.740140,0.457770,0.89493,1.27431,1.38176,7.73714e-05,7.73714e-05,7.73714e-05
18,6558.33,0.81526,1.67694,1.26451,0.729510,0.744590,0.751900,0.466890,0.89302,1.26938,1.37748,7.59571e-05,7.59571e-05,7.59571e-05
19,6923.53,0.81549,1.64998,1.26011,0.722310,0.727380,0.741310,0.466320,0.88996,1.24583,1.36947,7.45429e-05,7.45429e-05,7.45429e-05
20,7284.14,0.80934,1.6154,1.25678,0.726360,0.741880,0.749160,0.469330,0.8861,1.23355,1.37057,7.31286e-05,7.31286e-05,7.31286e-05
21,7644.82,0.80208,1.5904,1.24993,0.745560,0.744890,0.759100,0.476950,0.88369,1.21601,1.36687,7.17143e-05,7.17143e-05,7.17143e-05
22,8005.63,0.80319,1.56549,1.25089,0.734370,0.746110,0.760030,0.476350,0.88304,1.20949,1.36243,7.03e-05,7.03e-05,7.03e-05
23,8366.39,0.80497,1.55298,1.24958,0.739280,0.752590,0.759360,0.483460,0.87991,1.19723,1.35774,6.88857e-05,6.88857e-05,6.88857e-05
24,8730.82,0.79778,1.52356,1.2433,0.737890,0.752280,0.766010,0.484900,0.88108,1.18866,1.36156,6.74714e-05,6.74714e-05,6.74714e-05
25,9095.53,0.79298,1.49731,1.24207,0.730030,0.761130,0.761610,0.483940,0.88133,1.17569,1.36279,6.60571e-05,6.60571e-05,6.60571e-05
26,9460.37,0.78988,1.48783,1.2371,0.738130,0.753940,0.761100,0.485270,0.87604,1.16447,1.35681,6.46429e-05,6.46429e-05,6.46429e-05
27,9825.36,0.79289,1.49095,1.23989,0.725800,0.755070,0.762590,0.485500,0.87861,1.16072,1.35746,6.32286e-05,6.32286e-05,6.32286e-05
28,10189.7,0.79103,1.4582,1.23566,0.739490,0.768160,0.770040,0.489470,0.87416,1.15169,1.35018,6.18143e-05,6.18143e-05,6.18143e-05
29,10551.2,0.78839,1.45172,1.23512,0.730220,0.761010,0.766610,0.488770,0.87351,1.15572,1.35101,6.04e-05,6.04e-05,6.04e-05
30,10914.6,0.78531,1.44316,1.23321,0.736140,0.767180,0.767600,0.487000,0.87178,1.15196,1.34939,5.89857e-05,5.89857e-05,5.89857e-05
