epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.033,1.34073,6.23852,2.06154,0.129570,0.093840,0.109390,0.096520,1.21215,4.51611,2.03055,1.66372e-05,1.66372e-05,0.0833795
2,723.875,1.20388,4.92836,1.85405,0.297350,0.141240,0.216930,0.156170,1.1232,3.77251,1.85345,3.28328e-05,3.28328e-05,0.066729
3,1094.99,1.08733,4.0966,1.64723,0.424270,0.272030,0.345290,0.235390,1.08593,3.05361,1.71,4.85571e-05,4.85571e-05,0.0500781
4,1464.31,0.9939,3.39052,1.50475,0.605340,0.411120,0.502750,0.304010,1.0956,2.44437,1.65043,6.38098e-05,6.38098e-05,0.0334266
5,1828.63,0.9548,2.96929,1.42478,0.694140,0.509500,0.596190,0.362700,1.05192,2.15172,1.58595,7.85912e-05,7.85912e-05,0.0167748
6,2193.82,0.92286,2.6927,1.38664,0.706050,0.592490,0.650170,0.393990,1.02649,1.95752,1.54484,9.29012e-05,9.29012e-05,0.0001224
7,2558.18,0.89463,2.44434,1.35085,0.767900,0.668230,0.711900,0.443470,0.98511,1.7788,1.49034,9.15143e-05,9.15143e-05,9.15143e-05
8,2922.8,0.87794,2.29657,1.33307,0.780250,0.692940,0.744240,0.467710,0.96514,1.6709,1.46946,9.01e-05,9.01e-05,9.01e-05
9,3288.4,0.8661,2.14645,1.31756,0.756320,0.746870,0.752800,0.479190,0.94316,1.57331,1.44653,8.86857e-05,8.86857e-05,8.86857e-05
10,3653.46,0.85601,2.05783,1.30467,0.782870,0.746040,0.762190,0.489470,0.93357,1.51196,1.43031,8.72714e-05,8.72714e-05,8.72714e-05
11,4013.81,0.84724,1.97687,1.29603,0.799240,0.766890,0.785710,0.506990,0.92296,1.47315,1.4154,8.58571e-05,8.58571e-05,8.58571e-05
12,4378.28,0.83472,1.92321,1.28871,0.790370,0.771220,0.785870,0.510890,0.91959,1.41824,1.41148,8.44429e-05,8.44429e-05,8.44429e-05
13,4743.21,0.83788,1.86765,1.2836,0.811540,0.794090,0.810900,0.528430,0.9133,1.3698,1.39953,8.30286e-05,8.30286e-05,8.30286e-05
14,5104.17,0.83315,1.80927,1.28182,0.789660,0.793060,0.797700,0.523120,0.91585,1.3507,1.40772,8.16143e-05,8.16143e-05,8.16143e-05
15,5464.19,0.82785,1.7894,1.27993,0.808060,0.800830,0.816280,0.533150,0.90614,1.33355,1.39259,8.02e-05,8.02e-05,8.02e-05
16,5828.31,0.82008,1.73887,1.27009,0.814310,0.800890,0.825100,0.545550,0.90286,1.28064,1.39357,7.87857e-05,7.87857e-05,7.87857e-05
17,6193.4,0.82005,1.72075,1.26708,0.821790,0.816480,0.832140,0.549770,0.89493,1.27431,1.38176,7.73714e-05,7.73714e-05,7.73714e-05
18,6558.33,0.81526,1.67694,1.26451,0.821510,0.836590,0.843900,0.558890,0.89302,1.26938,1.37748,7.59571e-05,7.59571e-05,7.59571e-05
19,6923.53,0.81549,1.64998,1.26011,0.814310,0.819380,0.833310,0.558320,0.88996,1.24583,1.36947,7.45429e-05,7.45429e-05,7.45429e-05
20,7284.14,0.80934,1.6154,1.25678,0.818360,0.833880,0.841160,0.561330,0.8861,1.23355,1.37057,7.31286e-05,7.31286e-05,7.31286e-05
21,7644.82,0.80208,1.5904,1.24993,0.837560,0.836890,0.851100,0.568950,0.88369,1.21601,1.36687,7.17143e-05,7.17143e-05,7.17143e-05
22,8005.63,0.80319,1.56549,1.25089,0.826370,0.838110,0.852030,0.568350,0.88304,1.20949,1.36243,7.03e-05,7.03e-05,7.03e-05
23,8366.39,0.80497,1.55298,1.24958,0.831280,0.844590,0.851360,0.575460,0.87991,1.19723,1.35774,6.88857e-05,6.88857e-05,6.88857e-05
24,8730.82,0.79778,1.52356,1.2433,0.829890,0.844280,0.858010,0.576900,0.88108,1.18866,1.36156,6.74714e-05,6.74714e-05,6.74714e-05
25,9095.53,0.79298,1.49731,1.24207,0.822030,0.853130,0.853610,0.575940,0.88133,1.17569,1.36279,6.60571e-05,6.60571e-05,6.60571e-05
26,9460.37,0.78988,1.48783,1.2371,0.830130,0.845940,0.853100,0.577270,0.87604,1.16447,1.35681,6.46429e-05,6.46429e-05,6.46429e-05
27,9825.36,0.79289,1.49095,1.23989,0.817800,0.847070,0.854590,0.577500,0.87861,1.16072,1.35746,6.32286e-05,6.32286e-05,6.32286e-05
28,10189.7,0.79103,1.4582,1.23566,0.831490,0.860160,0.855040,0.581470,0.87416,1.15169,1.35018,6.18143e-05,6.18143e-05,6.18143e-05
29,10551.2,0.78839,1.45172,1.23512,0.822220,0.853010,0.858610,0.580770,0.87351,1.15572,1.35101,6.04e-05,6.04e-05,6.04e-05
30,10914.6,0.78531,1.44316,1.23321,0.828140,0.859180,0.859600,0.579000,0.87178,1.15196,1.34939,5.89857e-05,5.89857e-05,5.89857e-05
31,11279.3,0.78947,1.43111,1.23444,0.830920,0.855750,0.862650,0.582280,0.87074,1.14893,1.34714,5.75714e-05,5.75714e-05,5.75714e-05
32,11643.7,0.78799,1.41642,1.2353,0.835630,0.854350,0.863970,0.586580,0.86995,1.14214,1.34723,5.61571e-05,5.61571e-05,5.61571e-05
33,12004.2,0.78448,1.40316,1.23156,0.830160,0.860300,0.862360,0.586410,0.86914,1.14039,1.34637,5.47429e-05,5.47429e-05,5.47429e-05
34,12368.5,0.77938,1.40518,1.226,0.824460,0.859040,0.862330,0.584970,0.86701,1.13599,1.34524,5.33286e-05,5.33286e-05,5.33286e-05
35,12732.9,0.78412,1.39797,1.22604,0.833820,0.863540,0.865410,0.587060,0.86705,1.13481,1.34378,5.19143e-05,5.19143e-05,5.19143e-05
36,13097.4,0.77862,1.3705,1.22364,0.831950,0.859040,0.862740,0.586420,0.86691,1.13615,1.34396,5.05e-05,5.05e-05,5.05e-05
37,13461.9,0.77825,1.36789,1.22813,0.831010,0.863920,0.864060,0.587400,0.86728,1.12828,1.34323,4.90857e-05,4.90857e-05,4.90857e-05
38,13825.7,0.78004,1.36252,1.22331,0.830750,0.864070,0.863740,0.585230,0.86708,1.12751,1.343,4.76714e-05,4.76714e-05,4.76714e-05
39,14187,0.77522,1.36559,1.22077,0.830320,0.862930,0.863720,0.585630,0.86761,1.12206,1.34264,4.62571e-05,4.62571e-05,4.62571e-05
40,14552.9,0.77537,1.34204,1.2232,0.832040,0.865730,0.867760,0.590270,0.86687,1.12024,1.34189,4.48429e-05,4.48429e-05,4.48429e-05
41,14917.2,0.76933,1.31493,1.21352,0.830630,0.862970,0.868030,0.589620,0.86698,1.11608,1.34184,4.34286e-05,4.34286e-05,4.34286e-05
42,15280.5,0.77389,1.32408,1.21957,0.829440,0.861870,0.864440,0.589270,0.86702,1.11614,1.34172,4.20143e-05,4.20143e-05,4.20143e-05
43,15645.2,0.76989,1.30901,1.21669,0.828640,0.859240,0.862960,0.590360,0.86815,1.11364,1.34332,4.06e-05,4.06e-05,4.06e-05
44,16009.1,0.76301,1.29644,1.21303,0.833490,0.862110,0.865630,0.591750,0.86884,1.11313,1.34417,3.91857e-05,3.91857e-05,3.91857e-05
45,16373.5,0.76518,1.29868,1.21754,0.839260,0.855560,0.864910,0.590020,0.86932,1.11172,1.34441,3.77714e-05,3.77714e-05,3.77714e-05
