epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.489,2.10413,4.30889,2.46538,0.094420,0.082170,0.086990,0.081750,1.78909,3.53919,2.49864,9.98425e-06,9.98425e-06,0.0875297
2,714.895,1.88579,3.79326,2.25597,0.106020,0.084730,0.093230,0.086540,1.68694,3.29177,2.40034,1.99766e-05,1.99766e-05,0.0750397
3,1075.36,1.75499,3.51351,2.10883,0.161980,0.101400,0.126560,0.100190,1.64354,3.02637,2.31304,2.99385e-05,2.99385e-05,0.0625496
4,1436.36,1.64822,3.23339,1.97647,0.270980,0.142240,0.201380,0.144470,1.64303,2.70139,2.23549,3.98471e-05,3.98471e-05,0.0500595
5,1795.37,1.58558,2.97432,1.89373,0.364070,0.219640,0.286210,0.187330,1.64526,2.41154,2.16962,4.96796e-05,4.96796e-05,0.0375694
6,2154.96,1.54221,2.75589,1.83147,0.393240,0.289350,0.340070,0.213670,1.6881,2.139,2.16022,5.94137e-05,5.94137e-05,0.0250791
7,2513.94,1.50523,2.54837,1.78741,0.534500,0.394890,0.455900,0.268770,1.66743,1.8637,2.10305,6.90271e-05,6.90271e-05,0.0125887
8,2872.45,1.47116,2.38612,1.74898,0.572080,0.468570,0.516730,0.300230,1.64047,1.65484,2.06326,7.84978e-05,7.84978e-05,9.81828e-05
9,3231.26,1.44561,2.25,1.71649,0.615440,0.564140,0.576940,0.336480,1.58439,1.52196,1.99686,7.80618e-05,7.80618e-05,7.80618e-05
10,3590.07,1.43445,2.13176,1.70832,0.642610,0.634540,0.623620,0.358910,1.59541,1.434,2.0027,7.75524e-05,7.75524e-05,7.75524e-05
11,3948.8,1.40604,2.03328,1.67843,0.677680,0.634130,0.651420,0.369350,1.58203,1.35828,1.98221,7.69856e-05,7.69856e-05,7.69856e-05
12,4307.37,1.3998,1.96414,1.67663,0.701890,0.678340,0.684900,0.396390,1.55899,1.30202,1.96075,7.63625e-05,7.63625e-05,7.63625e-05
13,4665.71,1.40188,1.92037,1.67469,0.715610,0.682000,0.703290,0.410530,1.5398,1.26386,1.93968,7.56839e-05,7.56839e-05,7.56839e-05
14,5024.4,1.38599,1.88181,1.65622,0.706880,0.718020,0.718500,0.423460,1.50504,1.21286,1.90134,7.49508e-05,7.49508e-05,7.49508e-05
15,5382.85,1.37385,1.82138,1.64852,0.708910,0.705970,0.716290,0.427690,1.5019,1.17563,1.89192,7.41646e-05,7.41646e-05,7.41646e-05
16,5741.42,1.36195,1.80003,1.6452,0.739750,0.720290,0.733610,0.445080,1.48273,1.14008,1.87647,7.33262e-05,7.33262e-05,7.33262e-05
17,6099.54,1.35514,1.77118,1.63734,0.737070,0.748060,0.751010,0.455260,1.46954,1.11336,1.86908,7.24371e-05,7.24371e-05,7.24371e-05
18,6458.1,1.34592,1.72272,1.62783,0.762010,0.764650,0.770800,0.465440,1.47454,1.06877,1.867,7.14986e-05,7.14986e-05,7.14986e-05
19,6816.34,1.35358,1.71228,1.63396,0.734230,0.765450,0.761360,0.466030,1.4504,1.05746,1.84575,7.05121e-05,7.05121e-05,7.05121e-05
20,7174.99,1.34219,1.6732,1.62106,0.748620,0.773180,0.776150,0.482090,1.44695,1.02693,1.83921,6.94792e-05,6.94792e-05,6.94792e-05
21,7533.71,1.34322,1.65586,1.62564,0.749940,0.780670,0.783000,0.483590,1.44975,1.01459,1.84266,6.84014e-05,6.84014e-05,6.84014e-05
22,7892.71,1.33678,1.63118,1.61741,0.755800,0.786160,0.789090,0.490200,1.44386,0.99284,1.83696,6.72805e-05,6.72805e-05,6.72805e-05
23,8252.14,1.33145,1.61385,1.61492,0.753150,0.786640,0.786220,0.492230,1.43101,0.98318,1.82536,6.61181e-05,6.61181e-05,6.61181e-05
24,8610.53,1.32917,1.59402,1.61157,0.753620,0.791620,0.790490,0.494750,1.43703,0.97862,1.82563,6.49161e-05,6.49161e-05,6.49161e-05
25,8969.41,1.31468,1.58083,1.60268,0.757930,0.808640,0.801180,0.497570,1.4403,0.97249,1.82686,6.36763e-05,6.36763e-05,6.36763e-05
26,9328.54,1.31847,1.5765,1.60639,0.787630,0.789790,0.804890,0.503940,1.43869,0.96529,1.82391,6.24006e-05,6.24006e-05,6.24006e-05
27,9687.74,1.31338,1.55743,1.60191,0.775530,0.814820,0.812370,0.514800,1.41686,0.9458,1.80744,6.10909e-05,6.10909e-05,6.10909e-05
28,10046.9,1.31006,1.53441,1.59578,0.784360,0.812690,0.814740,0.519380,1.41729,0.94007,1.80441,5.97494e-05,5.97494e-05,5.97494e-05
29,10406.2,1.31688,1.54149,1.60152,0.776920,0.813120,0.810820,0.514020,1.41747,0.93757,1.80369,5.8378e-05,5.8378e-05,5.8378e-05
30,10764.6,1.31097,1.52385,1.59736,0.779330,0.823670,0.813780,0.523270,1.40585,0.92857,1.79269,5.69789e-05,5.69789e-05,5.69789e-05
31,11123.5,1.31244,1.52097,1.59106,0.781180,0.834370,0.824000,0.523950,1.41704,0.92115,1.80253,5.55543e-05,5.55543e-05,5.55543e-05
32,11483.4,1.31374,1.5093,1.59771,0.780820,0.827740,0.824730,0.521050,1.42819,0.91292,1.80867,5.41062e-05,5.41062e-05,5.41062e-05
33,11842.1,1.29883,1.48752,1.58979,0.784040,0.829870,0.826630,0.530240,1.40079,0.90285,1.7884,5.26371e-05,5.26371e-05,5.26371e-05
34,12201.7,1.30245,1.4887,1.58684,0.780740,0.835860,0.824530,0.531490,1.39889,0.90257,1.78776,5.1149e-05,5.1149e-05,5.1149e-05
35,12561.2,1.29711,1.48133,1.58328,0.791830,0.825440,0.827860,0.533710,1.39406,0.9012,1.78228,4.96444e-05,4.96444e-05,4.96444e-05
36,12920.5,1.30323,1.48242,1.59338,0.785240,0.840260,0.830240,0.533560,1.40147,0.8958,1.78966,4.81256e-05,4.81256e-05,4.81256e-05
37,13279.5,1.29432,1.46663,1.5784,0.779200,0.842910,0.828360,0.532530,1.39764,0.89067,1.78414,4.65948e-05,4.65948e-05,4.65948e-05
38,13639.5,1.29312,1.45293,1.58468,0.778520,0.837250,0.823340,0.532200,1.39774,0.88991,1.78391,4.50545e-05,4.50545e-05,4.50545e-05
39,13998.8,1.29498,1.44435,1.58054,0.783140,0.833300,0.827550,0.537240,1.39214,0.88241,1.77609,4.3507e-05,4.3507e-05,4.3507e-05
40,14358.7,1.28781,1.43478,1.57276,0.790100,0.850410,0.841630,0.544720,1.38582,0.88264,1.77202,4.19547e-05,4.19547e-05,4.19547e-05
41,14717.6,1.28128,1.42447,1.57333,0.785970,0.845980,0.838480,0.540830,1.39076,0.87451,1.77269,4.04e-05,4.04e-05,4.04e-05
42,15076.8,1.28745,1.44217,1.58126,0.786930,0.857090,0.838980,0.540060,1.39389,0.87094,1.77784,3.88453e-05,3.88453e-05,3.88453e-05
43,15436.5,1.28855,1.42869,1.57472,0.781490,0.847780,0.835350,0.541310,1.39098,0.86967,1.77474,3.7293e-05,3.7293e-05,3.7293e-05
44,15795.6,1.28417,1.42331,1.56882,0.790500,0.846210,0.837870,0.544400,1.38243,0.86657,1.76663,3.57455e-05,3.57455e-05,3.57455e-05
45,16151.4,1.28375,1.40772,1.56666,0.790400,0.846920,0.839380,0.545150,1.38241,0.86463,1.7675,3.42052e-05,3.42052e-05,3.42052e-05
46,16507.6,1.2864,1.4083,1.57291,0.783070,0.845730,0.835800,0.542810,1.387,0.86433,1.77115,3.26744e-05,3.26744e-05,3.26744e-05
47,16863.5,1.28032,1.41237,1.56974,0.789770,0.843030,0.840590,0.545940,1.38156,0.86357,1.76684,3.11556e-05,3.11556e-05,3.11556e-05
48,17219.6,1.2749,1.40536,1.56145,0.810770,0.816590,0.835900,0.544560,1.37919,0.86233,1.76371,2.9651e-05,2.9651e-05,2.9651e-05
49,17575.4,1.27727,1.38975,1.57063,0.788090,0.851070,0.840120,0.544570,1.37972,0.86038,1.76267,2.81629e-05,2.81629e-05,2.81629e-05
50,17931.2,1.27722,1.40116,1.56875,0.786640,0.847820,0.840730,0.547930,1.37377,0.85836,1.75841,2.66938e-05,2.66938e-05,2.66938e-05
51,18287.5,1.27551,1.39419,1.56665,0.784270,0.848460,0.840780,0.547340,1.37774,0.85966,1.7614,2.52457e-05,2.52457e-05,2.52457e-05
52,18643.3,1.2702,1.38764,1.56567,0.787640,0.849670,0.841020,0.547200,1.37488,0.85629,1.75957,2.38211e-05,2.38211e-05,2.38211e-05
53,18999.5,1.27782,1.38804,1.56821,0.784800,0.854670,0.843680,0.549340,1.37781,0.85367,1.76058,2.2422e-05,2.2422e-05,2.2422e-05
54,19355.7,1.27876,1.38369,1.57052,0.785500,0.858780,0.847360,0.551450,1.37583,0.85245,1.7597,2.10506e-05,2.10506e-05,2.10506e-05
55,19711.5,1.27258,1.38702,1.56661,0.797280,0.848120,0.845710,0.550450,1.37599,0.85065,1.76079,1.97091e-05,1.97091e-05,1.97091e-05
56,20067.8,1.26842,1.37448,1.56302,0.789500,0.855800,0.847940,0.553060,1.37453,0.84916,1.7583,1.83994e-05,1.83994e-05,1.83994e-05
57,20423.9,1.26813,1.3858,1.56606,0.795400,0.845200,0.847170,0.553450,1.37163,0.84742,1.75608,1.71237e-05,1.71237e-05,1.71237e-05
58,20780.1,1.2705,1.37943,1.56437,0.789730,0.858290,0.847610,0.552670,1.37329,0.84782,1.75659,1.58839e-05,1.58839e-05,1.58839e-05
59,21135.7,1.26783,1.376,1.5631,0.789360,0.854710,0.846460,0.552140,1.37439,0.84669,1.75743,1.46819e-05,1.46819e-05,1.46819e-05
60,21491.4,1.27608,1.38129,1.56805,0.791380,0.857570,0.848610,0.552730,1.37364,0.84552,1.75695,1.35195e-05,1.35195e-05,1.35195e-05
61,21846.6,1.2738,1.38338,1.5626,0.793330,0.857070,0.849440,0.553050,1.37243,0.845,1.7555,1.23986e-05,1.23986e-05,1.23986e-05
62,22202.5,1.27111,1.36741,1.56233,0.815250,0.833480,0.847620,0.552960,1.36989,0.8433,1.75345,1.13208e-05,1.13208e-05,1.13208e-05
63,22558.4,1.27035,1.3671,1.56485,0.791950,0.855700,0.847530,0.553030,1.3674,0.84178,1.75207,1.02879e-05,1.02879e-05,1.02879e-05
64,22914.3,1.2724,1.36515,1.56229,0.793910,0.855800,0.848680,0.554580,1.36724,0.84046,1.75203,9.30145e-06,9.30145e-06,9.30145e-06
65,23270.4,1.27066,1.36806,1.56117,0.793510,0.858890,0.849290,0.555920,1.367,0.84019,1.75202,8.36293e-06,8.36293e-06,8.36293e-06
66,23626.3,1.265,1.3652,1.5579,0.793810,0.858930,0.849040,0.555660,1.36736,0.8405,1.75213,7.4738e-06,7.4738e-06,7.4738e-06
67,23979.9,1.27084,1.37017,1.56446,0.792180,0.857590,0.848530,0.554630,1.36854,0.84067,1.75305,6.63545e-06,6.63545e-06,6.63545e-06
68,24337.4,1.26821,1.37311,1.56588,0.793950,0.858780,0.849410,0.555330,1.36863,0.84007,1.75324,5.84916e-06,5.84916e-06,5.84916e-06
69,24693.3,1.26647,1.36672,1.56004,0.797270,0.862590,0.850950,0.556480,1.36831,0.83949,1.75293,5.11614e-06,5.11614e-06,5.11614e-06
70,25049.4,1.2641,1.36347,1.55583,0.796970,0.865150,0.852250,0.557040,1.36793,0.83926,1.75273,4.43753e-06,4.43753e-06,4.43753e-06
71,25405.8,1.18346,1.13736,1.67824,0.788780,0.870900,0.850300,0.554390,1.37002,0.83924,1.75491,3.81437e-06,3.81437e-06,3.81437e-06
72,25759.9,1.17572,1.09427,1.67876,0.782520,0.869470,0.847840,0.552490,1.36915,0.84438,1.75524,3.24762e-06,3.24762e-06,3.24762e-06
73,26114,1.16489,1.07942,1.67824,0.779490,0.869430,0.844190,0.551250,1.36915,0.84773,1.75623,2.73816e-06,2.73816e-06,2.73816e-06
74,26468.3,1.16113,1.06032,1.66699,0.774930,0.866240,0.842120,0.550800,1.36902,0.85277,1.75681,2.28677e-06,2.28677e-06,2.28677e-06
75,26822,1.1626,1.06053,1.67238,0.774250,0.862580,0.838400,0.549070,1.36937,0.8566,1.75736,1.89415e-06,1.89415e-06,1.89415e-06
76,27176,1.16325,1.06153,1.66924,0.790660,0.852080,0.837160,0.549810,1.3688,0.85973,1.75734,1.5609e-06,1.5609e-06,1.5609e-06
77,27529.6,1.15786,1.05415,1.65976,0.771420,0.862250,0.837130,0.550110,1.36861,0.86186,1.75729,1.28754e-06,1.28754e-06,1.28754e-06
78,27883.3,1.15496,1.04927,1.66703,0.772990,0.864630,0.837300,0.550460,1.36818,0.86344,1.75705,1.07449e-06,1.07449e-06,1.07449e-06
