epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.801,2.04322,4.69617,2.43177,0.00246,0.00017,0.00124,0.00057,1.6993,3.72016,2.41061,9.98815e-06,9.98815e-06,0.0875248
2,958.966,1.78276,4.10415,2.17265,0.02089,0.00443,0.01109,0.00531,1.63764,3.46204,2.33582,1.99848e-05,1.99848e-05,0.0750348
3,1434.9,1.64912,3.84616,2.01837,0.05105,0.01768,0.032,0.01464,1.62893,3.18212,2.24933,2.99678e-05,2.99678e-05,0.0625448
4,1910.6,1.56757,3.5552,1.90748,0.09315,0.04396,0.06359,0.03267,1.67328,2.90624,2.2138,3.99271e-05,3.99271e-05,0.0500547
5,2383.99,1.52929,3.3406,1.84541,0.1499,0.07648,0.10868,0.06035,1.68694,2.63967,2.17153,4.98526e-05,4.98526e-05,0.0375647
6,2858.16,1.49696,3.11829,1.79752,0.26433,0.12591,0.1915,0.10497,1.67945,2.38784,2.13395,5.97341e-05,5.97341e-05,0.0250745
7,3332.08,1.46872,2.9397,1.75855,0.30167,0.16166,0.22922,0.12147,1.65981,2.14807,2.08599,6.95616e-05,6.95616e-05,0.0125844
8,3804.78,1.44624,2.75306,1.72733,0.34996,0.23367,0.28752,0.15745,1.60446,1.95113,2.0232,7.93251e-05,7.93251e-05,9.41356e-05
9,4278.33,1.42192,2.59132,1.70368,0.46,0.29052,0.37288,0.20197,1.60064,1.79859,2.00255,7.91346e-05,7.91346e-05,7.91346e-05
10,4752.27,1.40816,2.44951,1.68236,0.47373,0.35657,0.41584,0.23482,1.54179,1.68361,1.94172,7.89058e-05,7.89058e-05,7.89058e-05
11,5225.83,1.39462,2.37187,1.66955,0.50133,0.4051,0.4462,0.25047,1.52992,1.57078,1.92488,7.86507e-05,7.86507e-05,7.86507e-05
12,5699.75,1.38527,2.28716,1.65562,0.54612,0.42409,0.48282,0.27515,1.50998,1.50331,1.89644,7.83693e-05,7.83693e-05,7.83693e-05
13,6173.62,1.37426,2.21928,1.64851,0.53169,0.44508,0.48813,0.27881,1.5133,1.46184,1.89848,7.80618e-05,7.80618e-05,7.80618e-05
14,6647.84,1.36592,2.17747,1.64007,0.58101,0.4887,0.52421,0.30479,1.48543,1.40707,1.87313,7.77286e-05,7.77286e-05,7.77286e-05
15,7122.35,1.36099,2.13233,1.63474,0.55034,0.49471,0.51634,0.30365,1.46742,1.35931,1.85624,7.73698e-05,7.73698e-05,7.73698e-05
16,7595.83,1.34693,2.06405,1.62756,0.56851,0.50729,0.53394,0.31441,1.46968,1.32927,1.85799,7.69856e-05,7.69856e-05,7.69856e-05
17,8070.28,1.34607,2.03272,1.62156,0.60968,0.53607,0.56261,0.33644,1.46032,1.29903,1.84194,7.65764e-05,7.65764e-05,7.65764e-05
18,8545.26,1.33538,2.00096,1.61325,0.58643,0.53813,0.55353,0.3312,1.45868,1.27033,1.84075,7.61424e-05,7.61424e-05,7.61424e-05
19,9019.82,1.33713,1.98106,1.6128,0.59697,0.57068,0.56851,0.34687,1.43427,1.24228,1.82129,7.56839e-05,7.56839e-05,7.56839e-05
20,9493.98,1.32683,1.95559,1.61293,0.60027,0.5551,0.56943,0.35016,1.41889,1.21784,1.80815,7.52012e-05,7.52012e-05,7.52012e-05
21,9968.24,1.32323,1.90286,1.60434,0.60145,0.56487,0.57193,0.3502,1.42735,1.20308,1.8113,7.46946e-05,7.46946e-05,7.46946e-05
22,10442.3,1.3141,1.89315,1.60039,0.60187,0.5653,0.57624,0.35425,1.42644,1.18556,1.81156,7.41646e-05,7.41646e-05,7.41646e-05
23,10917,1.31347,1.87225,1.59615,0.60409,0.58495,0.58881,0.3644,1.42012,1.1675,1.80091,7.36114e-05,7.36114e-05,7.36114e-05
24,11391.1,1.31024,1.83587,1.58888,0.59595,0.58441,0.58527,0.36014,1.42134,1.16247,1.80461,7.30354e-05,7.30354e-05,7.30354e-05
25,11864.9,1.3108,1.84382,1.59561,0.62195,0.60058,0.60068,0.37585,1.40035,1.14172,1.78701,7.24371e-05,7.24371e-05,7.24371e-05
26,12339.9,1.31216,1.82064,1.58942,0.62005,0.59113,0.60446,0.37841,1.40421,1.13441,1.78738,7.18168e-05,7.18168e-05,7.18168e-05
27,12814.7,1.30243,1.79747,1.5817,0.61737,0.60847,0.60446,0.37708,1.40345,1.12004,1.78587,7.1175e-05,7.1175e-05,7.1175e-05
28,13289,1.30078,1.78985,1.58077,0.62637,0.61267,0.61134,0.38517,1.38755,1.11288,1.77584,7.05121e-05,7.05121e-05,7.05121e-05
29,13762.6,1.29882,1.77469,1.5832,0.62898,0.61355,0.62038,0.39215,1.39239,1.10297,1.77605,6.98285e-05,6.98285e-05,6.98285e-05
30,14237,1.30085,1.75695,1.58258,0.62635,0.61674,0.6184,0.39013,1.38729,1.09868,1.76869,6.91248e-05,6.91248e-05,6.91248e-05
31,14710.7,1.29415,1.73586,1.5697,0.61827,0.62348,0.62267,0.39192,1.38454,1.09387,1.76626,6.84014e-05,6.84014e-05,6.84014e-05
32,15184.6,1.28612,1.72854,1.57242,0.6319,0.62606,0.62866,0.39569,1.3902,1.09062,1.7694,6.76588e-05,6.76588e-05,6.76588e-05
