epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.623,2.14876,7.65049,2.13367,0.28701,0.03447,0.06673,0.02654,2.75118,11.5493,3.19998,0.00159711,0.00159711,0.0816333
2,640.148,2.12902,7.14993,2.07143,0.0982,0.11979,0.08605,0.0412,2.3918,10.427,2.74243,0.00319551,0.00319551,0.0632317
3,957.732,2.03701,6.60929,1.98886,0.21348,0.12624,0.16411,0.07293,2.1706,7.00086,2.31818,0.0047875,0.0047875,0.0448237
4,1270.58,1.95178,6.19014,1.92196,0.28848,0.22091,0.24939,0.13617,1.97647,5.29899,2.20283,0.0063683,0.0063683,0.0264045
5,1585.2,1.91853,5.9136,1.88408,0.36175,0.21857,0.27679,0.14801,2.07867,5.39415,2.24618,0.00793317,0.00793317,0.00796934
6,1900.82,1.89419,5.73362,1.8645,0.32176,0.2623,0.29824,0.15722,1.921,4.748,2.10565,0.00790021,0.00790021,0.00790021
7,2214.13,1.84958,5.52236,1.83047,0.38619,0.29273,0.3391,0.16611,1.95752,5.1665,2.16037,0.00785657,0.00785657,0.00785657
8,2528.32,1.80836,5.22107,1.80107,0.51039,0.41871,0.4582,0.25547,1.83632,4.25601,2.01521,0.0078052,0.0078052,0.0078052
9,2842.68,1.80414,5.09452,1.79446,0.41523,0.4163,0.39162,0.21669,1.82025,4.2123,2.00948,0.00774621,0.00774621,0.00774621
10,3156.44,1.76595,4.87661,1.77162,0.48448,0.51929,0.4829,0.26886,1.80024,3.76089,1.98604,0.00767972,0.00767972,0.00767972
11,3470.86,1.74611,4.74942,1.74933,0.46693,0.51359,0.49381,0.27261,1.78262,3.74028,1.97311,0.00760586,0.00760586,0.00760586
12,3785.14,1.73467,4.6378,1.74013,0.47696,0.57688,0.52388,0.2817,1.75558,3.74119,1.94156,0.00752477,0.00752477,0.00752477
13,4100.58,1.71538,4.53777,1.72837,0.54894,0.56093,0.54672,0.30163,1.78299,3.50655,1.96406,0.00743663,0.00743663,0.00743663
14,4416.07,1.70047,4.44921,1.71806,0.53014,0.58906,0.55652,0.30966,1.76926,3.34349,1.94363,0.0073416,0.0073416,0.0073416
15,4730.72,1.68689,4.30731,1.70257,0.54549,0.62956,0.58486,0.33209,1.71677,3.15556,1.90496,0.00723989,0.00723989,0.00723989
16,5045.3,1.67614,4.23357,1.69764,0.57894,0.57632,0.58309,0.34168,1.70906,3.29271,1.89912,0.00713169,0.00713169,0.00713169
17,5359.62,1.66029,4.13928,1.67891,0.57196,0.62141,0.5986,0.34958,1.70077,3.10259,1.89401,0.00701722,0.00701722,0.00701722
18,5673.4,1.64765,4.03083,1.67609,0.594,0.62838,0.61679,0.35626,1.71211,3.0429,1.89985,0.00689672,0.00689672,0.00689672
19,5987.18,1.63951,3.99393,1.67362,0.60801,0.60016,0.61709,0.368,1.65783,2.95582,1.85255,0.00677043,0.00677043,0.00677043
20,6301.07,1.63921,3.903,1.66366,0.57162,0.63762,0.62829,0.3776,1.64675,2.88662,1.84926,0.0066386,0.0066386,0.0066386
21,6615.12,1.62246,3.84584,1.65509,0.58482,0.65943,0.64216,0.38199,1.62682,2.87798,1.83075,0.00650149,0.00650149,0.00650149
22,6928.41,1.61441,3.79389,1.64326,0.65781,0.6615,0.67365,0.4042,1.64076,2.74804,1.83872,0.00635939,0.00635939,0.00635939
23,7242.43,1.60284,3.68665,1.63691,0.63218,0.67768,0.67284,0.41304,1.61831,2.69368,1.8136,0.00621257,0.00621257,0.00621257
24,7556.09,1.59289,3.62813,1.62947,0.60925,0.68034,0.66002,0.40283,1.6203,2.69073,1.81449,0.00606134,0.00606134,0.00606134
25,7869.51,1.58877,3.60465,1.62787,0.66089,0.68789,0.68348,0.41713,1.59729,2.66892,1.79922,0.005906,0.005906,0.005906
26,8183.35,1.581,3.52561,1.61973,0.67681,0.66202,0.68556,0.41747,1.61141,2.5925,1.80854,0.00574686,0.00574686,0.00574686
27,8497.18,1.57164,3.48675,1.6148,0.62919,0.71331,0.69233,0.42657,1.59269,2.58681,1.7919,0.00558424,0.00558424,0.00558424
28,8811.56,1.56547,3.40024,1.60443,0.70272,0.66095,0.68706,0.42658,1.58901,2.53686,1.7862,0.00541847,0.00541847,0.00541847
29,9124.43,1.55612,3.36457,1.60591,0.68768,0.66649,0.69335,0.434,1.5864,2.4699,1.78893,0.00524989,0.00524989,0.00524989
30,9437.51,1.56169,3.34674,1.60561,0.6668,0.6991,0.70068,0.43072,1.5855,2.47809,1.78163,0.00507883,0.00507883,0.00507883
31,9749.86,1.55392,3.30218,1.60029,0.70025,0.67186,0.70654,0.43535,1.59279,2.4787,1.78503,0.00490563,0.00490563,0.00490563
32,10063.4,1.54072,3.23591,1.58585,0.70762,0.70368,0.70732,0.44186,1.57408,2.47928,1.77126,0.00473066,0.00473066,0.00473066
33,10376.5,1.5332,3.15733,1.58537,0.68888,0.7013,0.71045,0.44915,1.56985,2.46169,1.76504,0.00455425,0.00455425,0.00455425
34,10690,1.52463,3.1289,1.57979,0.69437,0.70509,0.71617,0.44987,1.56935,2.40472,1.76847,0.00437676,0.00437676,0.00437676
35,11004.1,1.52285,3.12467,1.57166,0.67864,0.71129,0.71357,0.44907,1.56166,2.38327,1.76269,0.00419856,0.00419856,0.00419856
36,11317.6,1.51615,3.07422,1.57009,0.66201,0.74328,0.72239,0.46096,1.5633,2.40778,1.76121,0.00402,0.00402,0.00402
37,11631.5,1.50607,3.02974,1.56605,0.6945,0.71818,0.7234,0.46217,1.55677,2.37806,1.7552,0.00384144,0.00384144,0.00384144
38,11946,1.48846,2.97262,1.55331,0.7033,0.70559,0.72565,0.46368,1.55098,2.37376,1.75205,0.00366324,0.00366324,0.00366324
39,12260.6,1.49412,2.94967,1.55501,0.70984,0.71271,0.73176,0.4679,1.54678,2.35557,1.75059,0.00348575,0.00348575,0.00348575
40,12574.2,1.48224,2.90525,1.54856,0.69635,0.70937,0.7259,0.46535,1.54768,2.34379,1.75071,0.00330934,0.00330934,0.00330934
41,12887,1.47784,2.87796,1.54808,0.69857,0.7158,0.72553,0.46646,1.54536,2.36,1.74649,0.00313437,0.00313437,0.00313437
