epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.489,2.10413,4.30889,2.46538,0.01842,0.00617,0.01099,0.00575,1.78909,3.53919,2.49864,9.98425e-06,9.98425e-06,0.0875297
2,714.895,1.88579,3.79326,2.25597,0.03002,0.00873,0.01723,0.01054,1.68694,3.29177,2.40034,1.99766e-05,1.99766e-05,0.0750397
3,1075.36,1.75499,3.51351,2.10883,0.08598,0.0254,0.05056,0.02419,1.64354,3.02637,2.31304,2.99385e-05,2.99385e-05,0.0625496
4,1436.36,1.64822,3.23339,1.97647,0.19498,0.06624,0.12538,0.06847,1.64303,2.70139,2.23549,3.98471e-05,3.98471e-05,0.0500595
5,1795.37,1.58558,2.97432,1.89373,0.28807,0.14364,0.21021,0.11133,1.64526,2.41154,2.16962,4.96796e-05,4.96796e-05,0.0375694
6,2154.96,1.54221,2.75589,1.83147,0.31724,0.21335,0.26407,0.13767,1.6881,2.139,2.16022,5.94137e-05,5.94137e-05,0.0250791
7,2513.94,1.50523,2.54837,1.78741,0.4585,0.31889,0.3799,0.19277,1.66743,1.8637,2.10305,6.90271e-05,6.90271e-05,0.0125887
8,2872.45,1.47116,2.38612,1.74898,0.49608,0.39257,0.44073,0.22423,1.64047,1.65484,2.06326,7.84978e-05,7.84978e-05,9.81828e-05
9,3231.26,1.44561,2.25,1.71649,0.53944,0.48814,0.50094,0.26048,1.58439,1.52196,1.99686,7.80618e-05,7.80618e-05,7.80618e-05
10,3590.07,1.43445,2.13176,1.70832,0.56661,0.55854,0.54762,0.28291,1.59541,1.434,2.0027,7.75524e-05,7.75524e-05,7.75524e-05
11,3948.8,1.40604,2.03328,1.67843,0.60168,0.55813,0.57542,0.29335,1.58203,1.35828,1.98221,7.69856e-05,7.69856e-05,7.69856e-05
12,4307.37,1.3998,1.96414,1.67663,0.62589,0.60234,0.6089,0.32039,1.55899,1.30202,1.96075,7.63625e-05,7.63625e-05,7.63625e-05
13,4665.71,1.40188,1.92037,1.67469,0.63961,0.606,0.62729,0.33453,1.5398,1.26386,1.93968,7.56839e-05,7.56839e-05,7.56839e-05
14,5024.4,1.38599,1.88181,1.65622,0.63088,0.64202,0.6425,0.34746,1.50504,1.21286,1.90134,7.49508e-05,7.49508e-05,7.49508e-05
15,5382.85,1.37385,1.82138,1.64852,0.63291,0.62997,0.64029,0.35169,1.5019,1.17563,1.89192,7.41646e-05,7.41646e-05,7.41646e-05
16,5741.42,1.36195,1.80003,1.6452,0.66375,0.64429,0.65761,0.36908,1.48273,1.14008,1.87647,7.33262e-05,7.33262e-05,7.33262e-05
17,6099.54,1.35514,1.77118,1.63734,0.66107,0.67206,0.67501,0.37926,1.46954,1.11336,1.86908,7.24371e-05,7.24371e-05,7.24371e-05
18,6458.1,1.34592,1.72272,1.62783,0.68601,0.68865,0.6948,0.38944,1.47454,1.06877,1.867,7.14986e-05,7.14986e-05,7.14986e-05
19,6816.34,1.35358,1.71228,1.63396,0.65823,0.68945,0.68536,0.39003,1.4504,1.05746,1.84575,7.05121e-05,7.05121e-05,7.05121e-05
20,7174.99,1.34219,1.6732,1.62106,0.67262,0.69718,0.70015,0.40609,1.44695,1.02693,1.83921,6.94792e-05,6.94792e-05,6.94792e-05
21,7533.71,1.34322,1.65586,1.62564,0.67394,0.70467,0.707,0.40759,1.44975,1.01459,1.84266,6.84014e-05,6.84014e-05,6.84014e-05
22,7892.71,1.33678,1.63118,1.61741,0.6798,0.71016,0.71309,0.4142,1.44386,0.99284,1.83696,6.72805e-05,6.72805e-05,6.72805e-05
23,8252.14,1.33145,1.61385,1.61492,0.67715,0.71064,0.71022,0.41623,1.43101,0.98318,1.82536,6.61181e-05,6.61181e-05,6.61181e-05
24,8610.53,1.32917,1.59402,1.61157,0.67762,0.71562,0.71449,0.41875,1.43703,0.97862,1.82563,6.49161e-05,6.49161e-05,6.49161e-05
25,8969.41,1.31468,1.58083,1.60268,0.68193,0.73264,0.72518,0.42157,1.4403,0.97249,1.82686,6.36763e-05,6.36763e-05,6.36763e-05
26,9328.54,1.31847,1.5765,1.60639,0.71163,0.71379,0.72889,0.42794,1.43869,0.96529,1.82391,6.24006e-05,6.24006e-05,6.24006e-05
27,9687.74,1.31338,1.55743,1.60191,0.69953,0.73882,0.73637,0.4388,1.41686,0.9458,1.80744,6.10909e-05,6.10909e-05,6.10909e-05
28,10046.9,1.31006,1.53441,1.59578,0.70836,0.73669,0.73874,0.44338,1.41729,0.94007,1.80441,5.97494e-05,5.97494e-05,5.97494e-05
29,10406.2,1.31688,1.54149,1.60152,0.70092,0.73712,0.73482,0.43802,1.41747,0.93757,1.80369,5.8378e-05,5.8378e-05,5.8378e-05
30,10764.6,1.31097,1.52385,1.59736,0.70333,0.74767,0.73778,0.44727,1.40585,0.92857,1.79269,5.69789e-05,5.69789e-05,5.69789e-05
31,11123.5,1.31244,1.52097,1.59106,0.70518,0.75837,0.748,0.44795,1.41704,0.92115,1.80253,5.55543e-05,5.55543e-05,5.55543e-05
32,11483.4,1.31374,1.5093,1.59771,0.70482,0.75174,0.74873,0.44505,1.42819,0.91292,1.80867,5.41062e-05,5.41062e-05,5.41062e-05
33,11842.1,1.29883,1.48752,1.58979,0.70804,0.75387,0.75063,0.45424,1.40079,0.90285,1.7884,5.26371e-05,5.26371e-05,5.26371e-05
34,12201.7,1.30245,1.4887,1.58684,0.70474,0.75986,0.74853,0.45549,1.39889,0.90257,1.78776,5.1149e-05,5.1149e-05,5.1149e-05
35,12561.2,1.29711,1.48133,1.58328,0.71583,0.74944,0.75186,0.45771,1.39406,0.9012,1.78228,4.96444e-05,4.96444e-05,4.96444e-05
36,12920.5,1.30323,1.48242,1.59338,0.70924,0.76426,0.75424,0.45756,1.40147,0.8958,1.78966,4.81256e-05,4.81256e-05,4.81256e-05
37,13279.5,1.29432,1.46663,1.5784,0.7032,0.76691,0.75236,0.45653,1.39764,0.89067,1.78414,4.65948e-05,4.65948e-05,4.65948e-05
38,13639.5,1.29312,1.45293,1.58468,0.70252,0.76125,0.74734,0.4562,1.39774,0.88991,1.78391,4.50545e-05,4.50545e-05,4.50545e-05
39,13998.8,1.29498,1.44435,1.58054,0.70714,0.7573,0.75155,0.46124,1.39214,0.88241,1.77609,4.3507e-05,4.3507e-05,4.3507e-05
40,14358.7,1.28781,1.43478,1.57276,0.7141,0.77441,0.76563,0.46872,1.38582,0.88264,1.77202,4.19547e-05,4.19547e-05,4.19547e-05
41,14717.6,1.28128,1.42447,1.57333,0.70997,0.76998,0.76248,0.46483,1.39076,0.87451,1.77269,4.04e-05,4.04e-05,4.04e-05
42,15076.8,1.28745,1.44217,1.58126,0.71093,0.78109,0.76298,0.46406,1.39389,0.87094,1.77784,3.88453e-05,3.88453e-05,3.88453e-05
43,15436.5,1.28855,1.42869,1.57472,0.70549,0.77178,0.75935,0.46531,1.39098,0.86967,1.77474,3.7293e-05,3.7293e-05,3.7293e-05
44,15795.6,1.28417,1.42331,1.56882,0.7145,0.77021,0.76187,0.4684,1.38243,0.86657,1.76663,3.57455e-05,3.57455e-05,3.57455e-05
45,16151.4,1.28375,1.40772,1.56666,0.7144,0.77092,0.76338,0.46915,1.38241,0.86463,1.7675,3.42052e-05,3.42052e-05,3.42052e-05
46,16507.6,1.2864,1.4083,1.57291,0.70707,0.76973,0.7598,0.46681,1.387,0.86433,1.77115,3.26744e-05,3.26744e-05,3.26744e-05
47,16863.5,1.28032,1.41237,1.56974,0.71377,0.76703,0.76459,0.46994,1.38156,0.86357,1.76684,3.11556e-05,3.11556e-05,3.11556e-05
48,17219.6,1.2749,1.40536,1.56145,0.73477,0.74059,0.7599,0.46856,1.37919,0.86233,1.76371,2.9651e-05,2.9651e-05,2.9651e-05
49,17575.4,1.27727,1.38975,1.57063,0.71209,0.77507,0.76412,0.46857,1.37972,0.86038,1.76267,2.81629e-05,2.81629e-05,2.81629e-05
50,17931.2,1.27722,1.40116,1.56875,0.71064,0.77182,0.76473,0.47193,1.37377,0.85836,1.75841,2.66938e-05,2.66938e-05,2.66938e-05
51,18287.5,1.27551,1.39419,1.56665,0.70827,0.77246,0.76478,0.47134,1.37774,0.85966,1.7614,2.52457e-05,2.52457e-05,2.52457e-05
52,18643.3,1.2702,1.38764,1.56567,0.71164,0.77367,0.76502,0.4712,1.37488,0.85629,1.75957,2.38211e-05,2.38211e-05,2.38211e-05
53,18999.5,1.27782,1.38804,1.56821,0.7088,0.77867,0.76768,0.47334,1.37781,0.85367,1.76058,2.2422e-05,2.2422e-05,2.2422e-05
54,19355.7,1.27876,1.38369,1.57052,0.7095,0.78278,0.77136,0.47545,1.37583,0.85245,1.7597,2.10506e-05,2.10506e-05,2.10506e-05
55,19711.5,1.27258,1.38702,1.56661,0.72128,0.77212,0.76971,0.47445,1.37599,0.85065,1.76079,1.97091e-05,1.97091e-05,1.97091e-05
56,20067.8,1.26842,1.37448,1.56302,0.7135,0.7798,0.77194,0.47706,1.37453,0.84916,1.7583,1.83994e-05,1.83994e-05,1.83994e-05
57,20423.9,1.26813,1.3858,1.56606,0.7194,0.7692,0.77117,0.47745,1.37163,0.84742,1.75608,1.71237e-05,1.71237e-05,1.71237e-05
58,20780.1,1.2705,1.37943,1.56437,0.71373,0.78229,0.77161,0.47667,1.37329,0.84782,1.75659,1.58839e-05,1.58839e-05,1.58839e-05
59,21135.7,1.26783,1.376,1.5631,0.71336,0.77871,0.77046,0.47614,1.37439,0.84669,1.75743,1.46819e-05,1.46819e-05,1.46819e-05
60,21491.4,1.27608,1.38129,1.56805,0.71538,0.78157,0.77261,0.47673,1.37364,0.84552,1.75695,1.35195e-05,1.35195e-05,1.35195e-05
61,21846.6,1.2738,1.38338,1.5626,0.71733,0.78107,0.77344,0.47705,1.37243,0.845,1.7555,1.23986e-05,1.23986e-05,1.23986e-05
62,22202.5,1.27111,1.36741,1.56233,0.73925,0.75748,0.77162,0.47696,1.36989,0.8433,1.75345,1.13208e-05,1.13208e-05,1.13208e-05
63,22558.4,1.27035,1.3671,1.56485,0.71595,0.7797,0.77153,0.47703,1.3674,0.84178,1.75207,1.02879e-05,1.02879e-05,1.02879e-05
64,22914.3,1.2724,1.36515,1.56229,0.71791,0.7798,0.77268,0.47858,1.36724,0.84046,1.75203,9.30145e-06,9.30145e-06,9.30145e-06
65,23270.4,1.27066,1.36806,1.56117,0.71751,0.78289,0.77329,0.47992,1.367,0.84019,1.75202,8.36293e-06,8.36293e-06,8.36293e-06
66,23626.3,1.265,1.3652,1.5579,0.71781,0.78293,0.77304,0.47966,1.36736,0.8405,1.75213,7.4738e-06,7.4738e-06,7.4738e-06
67,23979.9,1.27084,1.37017,1.56446,0.71618,0.78159,0.77253,0.47863,1.36854,0.84067,1.75305,6.63545e-06,6.63545e-06,6.63545e-06
68,24337.4,1.26821,1.37311,1.56588,0.71795,0.78278,0.77341,0.47933,1.36863,0.84007,1.75324,5.84916e-06,5.84916e-06,5.84916e-06
69,24693.3,1.26647,1.36672,1.56004,0.72127,0.78659,0.77495,0.48048,1.36831,0.83949,1.75293,5.11614e-06,5.11614e-06,5.11614e-06
70,25049.4,1.2641,1.36347,1.55583,0.72097,0.78915,0.77625,0.48104,1.36793,0.83926,1.75273,4.43753e-06,4.43753e-06,4.43753e-06
71,25405.8,1.18346,1.13736,1.67824,0.71278,0.7949,0.7743,0.47839,1.37002,0.83924,1.75491,3.81437e-06,3.81437e-06,3.81437e-06
72,25759.9,1.17572,1.09427,1.67876,0.70652,0.79347,0.77184,0.47649,1.36915,0.84438,1.75524,3.24762e-06,3.24762e-06,3.24762e-06
73,26114,1.16489,1.07942,1.67824,0.70349,0.79343,0.76819,0.47525,1.36915,0.84773,1.75623,2.73816e-06,2.73816e-06,2.73816e-06
74,26468.3,1.16113,1.06032,1.66699,0.69893,0.79024,0.76612,0.4748,1.36902,0.85277,1.75681,2.28677e-06,2.28677e-06,2.28677e-06
75,26822,1.1626,1.06053,1.67238,0.69825,0.78658,0.7624,0.47307,1.36937,0.8566,1.75736,1.89415e-06,1.89415e-06,1.89415e-06
76,27176,1.16325,1.06153,1.66924,0.71466,0.77608,0.76116,0.47381,1.3688,0.85973,1.75734,1.5609e-06,1.5609e-06,1.5609e-06
77,27529.6,1.15786,1.05415,1.65976,0.69542,0.78625,0.76113,0.47411,1.36861,0.86186,1.75729,1.28754e-06,1.28754e-06,1.28754e-06
78,27883.3,1.15496,1.04927,1.66703,0.69699,0.78863,0.7613,0.47446,1.36818,0.86344,1.75705,1.07449e-06,1.07449e-06,1.07449e-06
